english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
oval,椭圆形的,高中,/ˈoʊvl/,The table has an oval shape.,,这张桌子是椭圆形的。,She has an oval face.,,她有一张鹅蛋脸。
overcome,克服,高中,/ˌoʊvərˈkʌm/,We must overcome these difficulties.,,我们必须克服这些困难。,He overcame his fear of heights.,overcame,他克服了对高度的恐惧。
owner,拥有者,高中,/ˈoʊnər/,Who is the owner of this car?,,这辆车的主人是谁？,The restaurant's owner greeted us warmly.,,餐厅的老板热情地欢迎了我们。
pace,步伐；节奏,高中,/peɪs/,Keep pace with the music.,,跟上音乐的节拍。,He paced back and forth nervously.,paced,他紧张地来回踱步。
pacific,太平洋的；平静的,高中,/pəˈsɪfɪk/,The Pacific Ocean is very deep.,,太平洋很深。,She has a pacific nature.,,她性格温和。
pack,包装；打包,高中,pæk,Please pack these books.,,请把这些书打包。,We need to pack our bags for the trip.,,我们需要为旅行打包行李。
package,包裹；包装,高中,ˈpækɪdʒ,I received a package yesterday.,,我昨天收到了一个包裹。,The software comes in a complete package.,,这个软件以完整包装形式提供。
painful,痛苦的,高中,ˈpeɪnfl,It's painful to lose a friend.,,失去朋友是痛苦的。,He had a painful injury in the game.,,他在比赛中受了痛苦的伤。
painting,绘画；画作,高中,ˈpeɪntɪŋ,This painting is beautiful.,,这幅画很美。,She enjoys painting landscapes.,,她喜欢画风景画。
pale,苍白的,高中,peɪl,She looks pale today.,,她今天看起来很苍白。,The walls were painted a pale blue.,,墙壁被漆成了淡蓝色。
pan,平底锅,高中,pæn,Fry the eggs in a pan.,,用平底锅煎蛋。,She heated the soup in a pan.,,她在平底锅里加热了汤。
paragraph,段落,高中,ˈpærəɡræf,Read the first paragraph.,,读第一段。,Each paragraph should have a main idea.,,每个段落都应有一个中心思想。
parcel,包裹,高中,ˈpɑːrsl,The parcel arrived this morning.,,包裹今天早上到了。,He sent the parcel by express mail.,,他用快递寄出了包裹。
particular,特别的；挑剔的,高中,pərˈtɪkjələr,Be particular about your work.,,对你的工作要认真。,She is very particular about food.,,她对食物非常挑剔。
particularly,特别地,高中,pərˈtɪkjələrli,I like this book particularly.,,我特别喜欢这本书。,The weather was particularly cold this winter.,,今年冬天天气特别冷。
passage,通道；段落,高中,ˈpæsɪdʒ,This passage leads to the garden.,,这条通道通向花园。,He read a passage from the novel aloud.,,他大声朗读了小说中的一个段落。
passenger,乘客,高中,ˈpæsɪndʒər,All passengers must wear seat belts.,passengers,所有乘客都必须系安全带。,The driver picked up a passenger at the station.,,司机在车站接了一名乘客。
passion,激情,高中,ˈpæʃn,He has a passion for music.,,他对音乐充满热情。,She spoke with great passion about her cause.,,她满怀激情地谈论她的事业。
patience,耐心,高中,ˈpeɪʃns,Teaching requires patience.,,教学需要耐心。,He lost his patience after waiting for an hour.,,等了一个小时后，他失去了耐心。
patient,耐心的；病人,高中,ˈpeɪʃnt,Be patient with children.,,对孩子要有耐心。,The doctor is seeing a patient now.,,医生正在看诊一位病人。
pattern,模式；图案,高中,/ˈpætərn/,The dress has a floral pattern.,,这件裙子有花卉图案。,The weather pattern is changing.,,天气模式正在改变。
pause,暂停,高中,/pɔːz/,Let's pause for a moment.,,我们暂停一下。,He paused to think before answering.,paused,他停下来想了想才回答。
peace,和平,高中,/piːs/,We hope for peace in the world.,,我们希望世界和平。,She found peace in the quiet garden.,,她在宁静的花园里找到了平静。
peaceful,和平的,高中,/ˈpiːsfl/,The lake is peaceful.,,湖面很宁静。,They had a peaceful discussion.,,他们进行了一次和平的讨论。
per,每,高中,/pər/,The cost is $10 per person.,,费用是每人10美元。,The car was traveling at 60 miles per hour.,,这辆车以每小时60英里的速度行驶。
percent,百分之...,高中,/pərˈsent/,Sixty percent of students passed.,,百分之六十的学生通过了。,Prices increased by five percent.,,价格上涨了百分之五。
perhaps,也许,高中,/pərˈhæps/,Perhaps we should leave early.,,也许我们应该早点离开。,Perhaps it will rain tomorrow.,,也许明天会下雨。
period,时期；句号,高中,/ˈpɪriəd/,The Jurassic period lasted about 56 million years.,,侏罗纪持续了大约5600万年。,Remember to put a period at the end of the sentence.,,记得在句末加上句号。
personal,个人的,高中,/ˈpɜːrsənl/,This is my personal opinion.,,这是我的个人意见。,Please keep your personal belongings safe.,,请保管好你的个人物品。
personnel,人员,高中,/ˌpɜːrsəˈnel/,The company has 200 personnel.,,公司有200名员工。,All personnel must attend the meeting.,,所有人员都必须参加会议。
persuade,说服,高中,/pərˈsweɪd/,I persuaded him to come.,persuaded,我说服了他来。,She is trying to persuade her parents.,persuade,她正在试图说服她的父母。
photograph,照片,高中,/ˈfoʊtəɡræf/,This is a beautiful photograph.,,这是一张美丽的照片。,He photographed the sunset.,photographed,他拍摄了日落。
phrase,短语,高中,/freɪz/,Learn this phrase by heart.,,把这个短语记在心里。,She phrased her question carefully.,phrased,她小心地措辞了她的问题。
physical,身体的；物理的,高中,/ˈfɪzɪkl/,Regular exercise is good for physical health.,,定期锻炼对身体健康有益。,"It's a physical change, not a chemical one.",,这是一个物理变化，不是化学变化。
physician,医生,高中,/fɪˈzɪʃn/,The physician examined the patient.,,医生检查了病人。,She is a well-respected physician.,,她是一位备受尊敬的医生。
pile,堆,高中,paɪl,There is a pile of books.,,有一堆书。,He piled the boxes in the corner.,piled,他把箱子堆在了角落里。
pilot,飞行员,高中,ˈpaɪlət,The pilot flew the plane safely.,,飞行员安全地驾驶飞机。,She is training to become a pilot.,,她正在接受培训，想成为一名飞行员。
pine,松树,高中,paɪn,The pine trees are green all year round.,,松树一年四季都是绿色的。,The wind whispered through the pines.,pines,风在松林间低语。
pipe,管道,高中,paɪp,Water flows through the pipe.,,水通过管道流动。,The plumber fixed the leaking pipe.,,水管工修好了漏水的管道。
pity,遗憾；同情,高中,ˈpɪti,What a pity!,,真遗憾！,I pity those who have no home.,pity,我同情那些无家可归的人。
plain,平原；简单的,高中,pleɪn,The Great Plains are in the central United States.,Plains,大平原在美国中部。,She wore a plain dress.,,她穿了一条朴素的裙子。
planet,行星,高中,ˈplænɪt,Earth is a planet.,,地球是一颗行星。,Scientists are searching for other planets.,planets,科学家们正在寻找其他行星。
plastic,塑料的,高中,ˈplæstɪk,This bottle is made of plastic.,,这个瓶子是塑料做的。,We should reduce the use of plastic bags.,,我们应该减少塑料袋的使用。
pleasant,令人愉快的,高中,ˈpleznt,We had a pleasant journey.,,我们旅途愉快。,The weather is pleasant today.,,今天天气宜人。
pleasure,愉快,高中,ˈpleʒə(r),It's a pleasure to meet you.,,很高兴见到你。,Reading is one of my greatest pleasures.,pleasures,阅读是我最大的乐趣之一。
poet,诗人,高中,ˈpəʊɪt,Li Bai was a famous poet.,,李白是一位著名的诗人。,Many poets find inspiration in nature.,poets,许多诗人在自然中寻找灵感。
poetry,诗歌,高中,ˈpəʊətri,Chinese poetry is rich in meaning.,,中国诗歌寓意丰富。,He writes poetry in his spare time.,,他在业余时间写诗。
poison,毒药,高中,ˈpɔɪzn,This mushroom is poison.,,这种蘑菇有毒。,The snake's bite contains poison.,,蛇的咬伤含有毒液。
pole,杆子；极点,高中,pəʊl,The flag flies on the pole.,,旗帜在旗杆上飘扬。,Penguins live near the South Pole.,Pole,企鹅生活在南极附近。
policy,政策,高中,ˈpɒləsi,The government announced a new policy.,,政府宣布了一项新政策。,The company has a strict no-smoking policy.,,公司有严格的禁烟政策。
polite,礼貌的,高中,/pəˈlaɪt/,It's polite to say thank you.,,说谢谢是有礼貌的。,She gave a polite smile.,,她礼貌地笑了笑。
political,政治的,高中,/pəˈlɪtɪkl/,This is a political issue.,,这是一个政治问题。,He has strong political views.,,他有强烈的政治观点。
politics,政治,高中,/ˈpɒlətɪks/,He studies politics.,,他学习政治。,Politics can be a complicated subject.,,政治可能是一个复杂的学科。
positive,积极的；正面的,高中,/ˈpɒzətɪv/,Stay positive.,,保持积极的态度。,The test result was positive.,,测试结果是阳性的。
possess,拥有,高中,/pəˈzes/,He possesses great talent.,possesses,他很有天赋。,The country possesses rich natural resources.,possesses,这个国家拥有丰富的自然资源。
possibly,可能地,高中,/ˈpɒsəbli/,He could possibly win.,,他可能会赢。,Can you possibly help me?,,你能帮帮我吗？
poster,海报,高中,/ˈpəʊstə(r)/,The movie poster is attractive.,,电影海报很吸引人。,She put up a poster on the wall.,,她在墙上贴了一张海报。
pot,锅,高中,/pɒt/,Put the soup in the pot.,,把汤放进锅里。,She grows flowers in a clay pot.,,她在陶罐里种花。
pour,倒,高中,/pɔː(r)/,Pour some water into the glass.,,往杯子里倒些水。,It's pouring outside.,pouring,外面正下着倾盆大雨。
poverty,贫困,高中,/ˈpɒvəti/,We should fight against poverty.,,我们应该与贫困作斗争。,Many people live in poverty.,,许多人生活在贫困中。
powder,粉末,高中,/ˈpaʊdə(r)/,Add some powder to the mixture.,,在混合物中加入一些粉末。,She put on some face powder.,,她扑了些散粉。
powerful,强大的,高中,/ˈpaʊəfl/,The engine is very powerful.,,这台发动机很强大。,He gave a powerful speech.,,他发表了一场强有力的演讲。
practical,实用的,高中,/ˈpræktɪkl/,This is a practical solution.,,这是一个实用的解决方案。,She has a lot of practical experience.,,她有很多实践经验。
praise,赞扬,高中,/preɪz/,The teacher praised the student.,praised,老师表扬了学生。,He received praise for his hard work.,,他因努力工作而受到赞扬。
predict,预测,高中,/prɪˈdɪkt/,It's hard to predict the future.,,很难预测未来。,The weather forecast predicts rain.,predicts,天气预报预测有雨。
prefer,更喜欢,高中,/prɪˈfɜːr/,I prefer tea to coffee.,,我更喜欢茶而不是咖啡。,She prefers reading at home.,prefers,她更喜欢在家读书。
prejudice,偏见,高中,/ˈpredʒədɪs/,We should not have prejudice against others.,,我们不应该对他人有偏见。,The decision was made without prejudice.,,这个决定是在没有偏见的情况下做出的。
preparation,准备,高中,/ˌprepəˈreɪʃn/,Good preparation is essential.,,充分的准备是必要的。,The preparations for the party are complete.,preparations,派对的准备工作已经完成。
prepare,准备,高中,/prɪˈpeər/,Prepare for the worst.,,为最坏的情况做准备。,He is preparing dinner in the kitchen.,preparing,他正在厨房准备晚餐。
president,总统；校长,高中,/ˈprezɪdənt/,The president gave a speech.,,总统发表了演讲。,The university president welcomed the new students.,,大学校长欢迎了新生。
pressure,压力,高中,/ˈpreʃər/,Don't put pressure on him.,,不要给他施加压力。,The water pressure is too low.,,水压太低了。
pretend,假装,高中,/prɪˈtend/,Don't pretend to know.,,不要装懂。,The children pretended to be pirates.,pretended,孩子们假装是海盗。
pretty,漂亮的；相当,高中,/ˈprɪti/,She is a pretty girl.,,她是个漂亮的女孩。,I'm pretty sure he will come.,,我相当确定他会来。
prevent,阻止,高中,/prɪˈvent/,Wear a helmet to prevent injury.,,戴头盔以防受伤。,The rain prevented us from going out.,prevented,下雨阻止了我们外出。
previous,以前的,高中,/ˈpriːviəs/,"In previous years, things were different.",,在过去几年里，情况有所不同。,He has no previous experience in this field.,,他在这个领域没有先前的经验。
prime,主要的；最佳的,高中,/praɪm/,This is the prime reason.,,这是主要原因。,He is in the prime of his life.,,他正处于人生的黄金时期。
principal,主要的；校长,高中,/ˈprɪnsəpl/,The principal cause is pollution.,,主要原因是污染。,Our school principal is very kind.,,我们的校长非常和善。
principle,原则,高中,/ˈprɪnsəpl/,We should stick to our principles.,principles,我们应该坚持原则。,The machine works on a simple principle.,,这台机器基于一个简单的原理工作。
priority,优先权,高中,/praɪˈɒrəti/,Safety is our top priority.,,安全是我们的首要任务。,You need to set your priorities.,priorities,你需要确定你的优先事项。
prison,监狱,高中,/ˈprɪzn/,The thief was sent to prison.,,小偷被送进了监狱。,He spent ten years in prison.,,他在监狱里度过了十年。
private,私人的,高中,/ˈpraɪvət/,This is private property.,,这是私人财产。,He has a private office.,,他有一间私人办公室。
process,过程,高中,/ˈprəʊses/,The application process is simple.,,申请过程很简单。,We are processing your order.,processing,我们正在处理您的订单。
product,产品,高中,/ˈprɒdʌkt/,This is a high-quality product.,,这是一个高质量的产品。,They sell various products.,,他们销售各种产品。
production,生产,高中,/prəˈdʌkʃn/,The factory increased its production.,,工厂增加了产量。,The production of cars stopped.,,汽车的生产停止了。
professor,教授,高中,/prəˈfesə(r)/,Professor Smith is an expert.,,史密斯教授是个专家。,She became a professor last year.,,她去年成为了一名教授。
profit,利润,高中,/ˈprɒfɪt/,The company made a big profit.,,公司获得了丰厚的利润。,They profited from the deal.,profited,他们从这笔交易中获利。
progress,进步,高中,/ˈprəʊɡres/,You've made great progress.,,你取得了很大进步。,The work is progressing well.,progressing,工作进展顺利。
promote,促进；提升,高中,/prəˈməʊt/,Exercise promotes health.,promotes,运动促进健康。,He was promoted to manager.,promoted,他被提升为经理。
pronunciation,发音,高中,/prəˌnʌnsiˈeɪʃn/,Your pronunciation is good.,,你的发音很好。,She corrected my pronunciation.,,她纠正了我的发音。
proof,证据,高中,/pruːf/,Where is the proof?,,证据在哪里？,He provided proof of purchase.,,他提供了购买证明。
proper,适当的,高中,/ˈprɒpə(r)/,Use proper tools.,,使用适当的工具。,It's not the proper time.,,现在不是适当的时候。
properly,适当地,高中,/ˈprɒpəli/,Handle it properly.,,妥善处理它。,The machine is not working properly.,,这台机器运转不正常。
prove,证明,高中,/pruːv/,His theory was proved correct.,proved,他的理论被证明是正确的。,Can you prove your identity?,,你能证明你的身份吗？
provide,提供,高中,/prəˈvaɪd/,The school provides books.,provides,学校提供书籍。,They provided us with food.,provided,他们为我们提供了食物。
publish,出版,高中,/ˈpʌblɪʃ/,The book was published last year.,published,这本书去年出版了。,She publishes articles regularly.,publishes,她定期发表文章。
punctual,准时的,高中,/ˈpʌŋktʃuəl/,Be punctual for the meeting.,,开会要准时。,He is always punctual.,,他总是很准时。
punish,惩罚,高中,/ˈpʌnɪʃ/,Students who break rules will be punished.,punished,违反规则的学生将受到惩罚。,The law punishes theft.,punishes,法律惩罚盗窃行为。
pupil,学生；瞳孔,高中,/ˈpjuːpl/,The pupils are in class.,pupils,学生们在上课。,Her pupils dilated in the dark.,pupils,她的瞳孔在黑暗中放大了。
pure,纯净的,高中,/pjʊə(r)/,Pure water is essential.,,纯净水是必需的。,She has a pure heart.,,她有一颗纯洁的心。
purple,紫色的,高中,/ˈpɜːpl/,Purple is my favorite color.,,紫色是我最喜欢的颜色。,She wore a purple dress.,,她穿了一条紫色的裙子。
purpose,目的,高中,/ˈpɜːpəs/,What's the purpose of this meeting?,,这次会议的目的是什么？,He did it on purpose.,,他是故意这么做的。
purse,钱包,高中,/pɜːs/,She lost her purse.,,她丢了钱包。,She opened her purse to pay.,,她打开钱包付钱。
quality,质量,高中,/ˈkwɒləti/,Quality is more important than quantity.,,质量比数量更重要。,We offer high-quality products.,,我们提供高质量的产品。
quantity,数量,高中,/ˈkwɒntəti/,The quantity of goods is limited.,,商品数量有限。,A large quantity of food was wasted.,,大量的食物被浪费了。
quarrel,争吵,高中,/ˈkwɒrəl/,They had a quarrel.,,他们吵了一架。,They quarreled over money.,quarreled,他们为钱争吵。
quarter,四分之一；季度,高中,/ˈkwɔːtə(r)/,A quarter of the students passed.,,四分之一的学生通过了。,The report is due next quarter.,,报告下个季度到期。
quiz,测验,高中,/kwɪz/,We have a quiz tomorrow.,,我们明天有个小测验。,The teacher quizzed us on vocabulary.,quizzed,老师就词汇对我们进行了测验。
range,范围,高中,/reɪndʒ/,The price range is from $10 to $20.,,价格范围是10到20美元。,The mountains range across the country.,range,山脉绵延穿越这个国家。
rank,等级；军衔,高中,/ræŋk/,He holds the rank of captain.,,他拥有上尉军衔。,She ranks first in her class.,ranks,她在班里排名第一。
rapid,快速的,高中,/ˈræpɪd/,The river flows rapidly.,rapidly,河水湍急地流淌。,There has been rapid growth.,,出现了快速增长。
rare,稀有的,高中,/reə(r)/,Rare animals need protection.,,稀有动物需要保护。,It's rare to see snow here.,,这里很少下雪。
rarely,很少地,高中,/ˈreəli/,He rarely goes to the cinema.,,他很少去看电影。,She rarely complains about anything.,,她很少抱怨任何事情。
rate,比率；速度,高中,/reɪt/,The interest rate is 5%.,,利率是5%。,The car was moving at a high rate of speed.,,汽车正以高速行驶。
rather,宁愿；相当,高中,/ˈrɑːðə(r)/,I'd rather stay at home.,,我宁愿待在家里。,It's rather cold today.,,今天相当冷。
raw,生的；原始的,高中,/rɔː/,I like raw vegetables.,,我喜欢生蔬菜。,The data is still in its raw form.,,数据仍处于原始状态。
realise,意识到,高中,/ˈriːəlaɪz/,I didn't realise it was so late.,,我没意识到已经这么晚了。,She realised her mistake and apologized.,realised,她意识到了自己的错误并道了歉。
reality,现实,高中,/riˈæləti/,We must face reality.,,我们必须面对现实。,"The movie is based on a true story, but it differs from reality.",,这部电影基于一个真实故事，但与现实有所不同。
really,真正地,高中,/ˈriːəli/,I really enjoyed the movie.,,我真的很喜欢这部电影。,Are you really going to quit your job?,,你真的要辞职吗？
reasonable,合理的,高中,/ˈriːznəbl/,That's a reasonable price.,,那是合理的价格。,It's reasonable to ask for help when you need it.,,需要帮助时寻求帮助是合理的。
recall,回忆；召回,高中,/rɪˈkɔːl/,I can't recall his name.,,我想不起他的名字。,The company had to recall the faulty products.,recall,公司不得不召回有缺陷的产品。
recent,最近的,高中,/ˈriːsnt/,Have you seen him recently?,recently,你最近见过他吗？,"In recent years, technology has advanced rapidly.",,近年来，技术发展迅速。
recipe,食谱,高中,/ˈresəpi/,This recipe is easy to follow.,,这个食谱很容易遵循。,Can you share your recipe for chocolate cake?,,你能分享你的巧克力蛋糕食谱吗？
recognize,认出,高中,/ˈrekəɡnaɪz/,I recognized her voice.,recognized,我认出了她的声音。,Do you recognize this place from the photo?,,你能从照片中认出这个地方吗？
record,记录,高中,/rɪˈkɔːd/,Record the meeting.,,记录会议内容。,She holds the world record for the long jump.,,她保持着跳远的世界纪录。
recover,恢复,高中,/rɪˈkʌvə(r)/,He recovered from illness.,recovered,他从疾病中康复了。,It took a long time for the economy to recover.,recover,经济花了很长时间才恢复。
reduce,减少,高中,/rɪˈdjuːs/,We should reduce waste.,,我们应该减少浪费。,The company aims to reduce costs.,,公司旨在降低成本。
refer,参考；提及,高中,/rɪˈfɜː(r)/,Refer to the manual.,,参考手册。,He referred to his notes during the speech.,referred,他在演讲中参考了他的笔记。
reference,参考,高中,/ˈrefrəns/,This book is a reference.,,这本书是参考书。,She made reference to several studies.,,她参考了几项研究。
reflect,反映；思考,高中,/rɪˈflekt/,The water reflects the sky.,reflects,水面映照着天空。,I need time to reflect on my choices.,,我需要时间反思我的选择。
reform,改革,高中,/rɪˈfɔːm/,Economic reform is necessary.,,经济改革是必要的。,The government reformed the tax system.,reformed,政府改革了税收制度。
refresh,刷新；提神,高中,/rɪˈfreʃ/,Refresh the page.,,刷新页面。,A cold drink will refresh you.,,一杯冷饮会让你提神。
refuse,拒绝,高中,/rɪˈfjuːz/,He refused my offer.,refused,他拒绝了我的提议。,She refuses to give up.,refuses,她拒绝放弃。
regard,看待；问候,高中,/rɪˈɡɑːd/,I regard him as a friend.,,我把他当作朋友。,Please give my regards to your family.,regards,请代我向你的家人问好。
region,地区,高中,/ˈriːdʒən/,This region is rich in oil.,,这个地区石油丰富。,The wine comes from a famous region.,,这葡萄酒来自一个著名的地区。
register,注册,高中,/ˈredʒɪstə(r)/,Register for the course.,,注册这门课程。,She registered her new car yesterday.,registered,她昨天注册了她的新车。
regret,后悔,高中,/rɪˈɡret/,I regret making that decision.,,我后悔做出那个决定。,He regrets not studying harder.,regrets,他后悔没有更努力学习。
regular,定期的；常规的,高中,/ˈreɡjələ(r)/,He is a regular customer.,,他是常客。,We have regular meetings every Monday.,,我们每周一有定期会议。
reject,拒绝,高中,/rɪˈdʒekt/,They rejected the proposal.,rejected,他们拒绝了这个提议。,The machine rejects faulty products.,rejects,机器会剔除有缺陷的产品。
relate,联系,高中,/rɪˈleɪt/,How are these events related?,related,这些事件是如何关联的？,Can you relate this story to your own life?,,你能把这个故事和你自己的生活联系起来吗？
relation,关系,高中,/rɪˈleɪʃn/,Family relations are important.,relations,家庭关系很重要。,There is a close relation between diet and health.,,饮食和健康之间有密切关系。
relationship,关系,高中,/rɪˈleɪʃənʃɪp/,They have a good relationship.,,他们关系很好。,The relationship between the two countries is improving.,,两国关系正在改善。
relative,亲戚,高中,/ˈrelətɪv/,My relatives live in Beijing.,relatives,我的亲戚住在北京。,She is a close relative of mine.,,她是我的近亲。
relax,放松,高中,/rɪˈlæks/,Relax and enjoy the music.,,放松享受音乐。,He relaxed after finishing his work.,relaxed,完成工作后他放松了下来。
release,释放,高中,/rɪˈliːs/,The movie will be released next month.,released,这部电影下个月上映。,The company released a new product.,released,公司发布了一款新产品。
relevant,相关的,高中,/ˈreləvənt/,This information is relevant.,,这个信息是相关的。,Please provide relevant documents.,,请提供相关文件。
reliable,可靠的,高中,/rɪˈlaɪəbl/,He is a reliable person.,,他是个可靠的人。,This is a reliable source of information.,,这是一个可靠的信息来源。
relief,宽慰；救济,高中,/rɪˈliːf/,I felt relief after the exam.,,考试后我感到宽慰。,The government sent relief to the disaster area.,,政府向灾区运送了救济物资。
religion,宗教,高中,/rɪˈlɪdʒən/,Freedom of religion is important.,,宗教自由很重要。,People have different religions.,religions,人们信仰不同的宗教。
rely,依靠,高中,/rɪˈlaɪ/,You can rely on me.,,你可以依靠我。,She relies on public transport.,relies,她依靠公共交通。
remain,保持；剩余,高中,/rɪˈmeɪn/,Much work remains to be done.,remains,还有很多工作要做。,Please remain seated.,,请保持就座。
remind,提醒,高中,/rɪˈmaɪnd/,Remind me to call him.,,提醒我给他打电话。,This photo reminds me of my childhood.,reminds,这张照片让我想起了我的童年。
remove,移除,高中,/rɪˈmuːv/,Remove the cover.,,移除盖子。,He removed his shoes before entering.,removed,他进门之前脱掉了鞋子。
rent,租金；出租,高中,/rent/,The rent is $500 per month.,,租金每月500美元。,They rent an apartment downtown.,rent,他们在市中心租了一套公寓。
repair,修理,高中,/rɪˈpeə(r)/,The car needs repair.,,这辆车需要修理。,He repaired the broken window.,repaired,他修理了那扇破窗户。
repeat,重复,高中,/rɪˈpiːt/,Please repeat that.,,请重复一遍。,History often repeats itself.,repeats,历史常常重演。
replace,替换,高中,/rɪˈpleɪs/,Replace the old batteries.,,更换旧电池。,Can you replace the broken part?,,你能更换损坏的部件吗？
reply,回复,高中,/rɪˈplaɪ/,I haven't received a reply.,,我没有收到回复。,She replied to my email.,replied,她回复了我的邮件。
represent,代表,高中,/ˌreprɪˈzent/,He represents the company.,represents,他代表公司。,The lawyer represented her in court.,represented,律师在法庭上代表她。
republic,共和国,高中,/rɪˈpʌblɪk/,France is a republic.,,法国是一个共和国。,The republic was founded in 1949.,,这个共和国成立于1949年。
reputation,声誉,高中,/ˌrepjuˈteɪʃn/,He has a good reputation.,,他有很好的声誉。,The school has a reputation for excellence.,,这所学校以卓越著称。
request,请求,高中,/rɪˈkwest/,I request your assistance.,,我请求您的帮助。,She requested a quiet room.,requested,她请求要一个安静的房间。
require,要求,高中,/rɪˈkwaɪə(r)/,This job requires experience.,requires,这项工作需要经验。,The law requires drivers to wear seat belts.,requires,法律要求司机系安全带。
rescue,救援,高中,/ˈreskjuː/,The rescue team arrived quickly.,,救援队很快就到了。,They rescued the cat from the tree.,rescued,他们把猫从树上救了下来。
research,研究,高中,/rɪˈsɜːtʃ/,Scientific research is important.,,科学研究很重要。,He is researching ancient history.,researching,他正在研究古代史。
respect,尊敬,高中,/rɪˈspekt/,We should respect our elders.,,我们应该尊敬长辈。,She respects her teacher's opinion.,respects,她尊重老师的意见。
restaurant,餐厅,高中,/ˈrestrɒnt/,Let's eat at the restaurant.,,我们去餐厅吃饭吧。,This restaurant serves delicious food.,,这家餐厅供应美味的食物。
restore,恢复,高中,/rɪˈstɔː(r)/,The painting was restored.,restored,这幅画被修复了。,They hope to restore peace to the region.,,他们希望恢复该地区的和平。
restrict,限制,高中,/rɪˈstrɪkt/,Speed is restricted here.,restricted,这里限速。,The rules restrict access to the building.,restrict,规定限制进入这栋大楼。
retell,复述,高中,/ˌriːˈtel/,Retell the story in your own words.,,用自己的话复述这个故事。,She retold the joke to her friends.,retold,她把这个笑话复述给朋友们听。
retire,退休,高中,/rɪˈtaɪə(r)/,He retired last year.,retired,他去年退休了。,My father is retiring next month.,retiring,我父亲下个月就要退休了。
review,复习；评论,高中,/rɪˈvjuː/,Review your notes.,,复习你的笔记。,The film received good reviews.,reviews,这部电影获得了很好的评价。
revise,修订,高中,/rɪˈvaɪz/,Revise your essay.,,修改你的文章。,I need to revise for the exam.,revise,我需要为考试复习。
revolution,革命,高中,/ˌrevəˈluːʃn/,The Industrial Revolution changed society.,,工业革命改变了社会。,The digital revolution is ongoing.,,数字革命正在进行中。
reward,奖励,高中,/rɪˈwɔːrd/,Hard work brings reward.,,努力工作会有回报。,She was rewarded for her honesty.,rewarded,她因诚实而受到奖励。
rhythm,节奏,高中,/ˈrɪðəm/,Music has rhythm.,,音乐有节奏。,He has a natural sense of rhythm.,,他有天生的节奏感。
riot,暴乱,高中,/ˈraɪət/,The city experienced a riot.,,这座城市发生了暴乱。,The crowd began to riot.,riot,人群开始暴动。
risk,风险,高中,/rɪsk/,Every investment carries risk.,,每项投资都有风险。,He risked his life to save her.,risked,他冒着生命危险去救她。
robot,机器人,高中,/ˈroʊbɑːt/,Robots can help with housework.,Robots,机器人可以帮助做家务。,The robot performed the task.,,机器人执行了任务。
role,角色,高中,/roʊl/,He played the main role.,,他扮演主角。,Parents play a key role.,,父母扮演着关键角色。
roll,滚动,高中,/roʊl/,The ball rolled away.,rolled,球滚走了。,Roll the dice.,Roll,掷骰子。
roof,屋顶,高中,/ruːf/,The roof leaks.,,屋顶漏水。,They repaired the roof.,,他们修理了屋顶。
rough,粗糙的,高中,/rʌf/,The surface is rough.,,表面很粗糙。,He gave a rough estimate.,,他给了一个粗略的估计。
route,路线,高中,/ruːt/,What's the best route?,,最好的路线是什么？,We took a scenic route.,,我们走了一条风景优美的路线。
routine,例行公事,高中,/ruːˈtiːn/,Daily exercise is part of my routine.,,日常锻炼是我例行公事的一部分。,The routine check-up went well.,,例行检查进行得很顺利。
rubber,橡胶,高中,/ˈrʌbər/,Rubber is flexible.,,橡胶有弹性。,The tires are made of rubber.,,轮胎是由橡胶制成的。
rubbish,垃圾,高中,/ˈrʌbɪʃ/,Put the rubbish in the bin.,,把垃圾放进垃圾桶。,The streets were full of rubbish.,,街上到处都是垃圾。
rude,粗鲁的,高中,/ruːd/,It's rude to interrupt.,,打断别人说话是粗鲁的。,He made a rude gesture.,,他做了一个粗鲁的手势。
Russian,俄罗斯的,高中,/ˈrʌʃ(ə)n/,Russian is a Slavic language.,,俄语是一种斯拉夫语。,She is studying Russian history.,,她正在学习俄罗斯历史。
safety,安全,高中,/ˈseɪfti/,Safety comes first.,,安全第一。,They are concerned about public safety.,,他们关心公共安全。
sail,航行,高中,/seɪl/,They sailed across the ocean.,sailed,他们横渡大洋航行。,We will sail to the island tomorrow.,,我们明天将航行去那个岛。
salary,薪水,高中,/ˈsæləri/,His salary is good.,,他的薪水不错。,She received a monthly salary.,,她领到了月薪。
satisfaction,满意,高中,/ˌsætɪsˈfækʃ(ə)n/,I have full satisfaction.,,我很满意。,The job gives him great satisfaction.,,这份工作给了他极大的满足感。
scale,规模；天平,高中,/skeɪl/,The fish scale is large.,,鱼鳞很大。,The project is on a large scale.,,这个项目规模很大。
scare,惊吓,高中,/skeə(r)/,Don't scare me.,,别吓我。,The loud noise scared the children.,scared,巨大的声响吓到了孩子们。
scene,场景,高中,/siːn/,The crime scene was investigated.,,犯罪现场被调查了。,It was a beautiful scene of the sunset.,,那是一幅美丽的日落场景。
schedule,时间表,高中,/ˈʃedjuːl/,Check the schedule.,,查看时间表。,The train is running on schedule.,,火车正点运行。
